populacao,ano,sigla_uf,id_municipio
4867,2020,TO,171630
4885,2021,TO,171630
13773,2020,TO,171650
13964,2021,TO,171650
11873,2020,TO,171660
11996,2021,TO,171660
5512,2020,TO,171665
5546,2021,TO,171665
8141,2020,TO,171670
8078,2021,TO,171670
4430,2020,TO,171700
4414,2021,TO,171700
3033,2020,TO,171720
3038,2021,TO,171720
7743,2020,TO,171750
7830,2021,TO,171750
4591,2020,TO,171780
4586,2021,TO,171780
8116,2020,TO,171790
8192,2021,TO,171790
3170,2020,TO,171800
3200,2021,TO,171800
53316,2020,TO,171820
53618,2021,TO,171820
8498,2020,TO,171830
8563,2021,TO,171830
3676,2020,TO,171840
3668,2021,TO,171840
2717,2020,TO,171845
2746,2021,TO,171845
4342,2020,TO,171850
4389,2021,TO,171850
4684,2020,TO,171855
4723,2021,TO,171855
2171,2020,TO,171865
2211,2021,TO,171865
2856,2020,TO,171870
2879,2021,TO,171870
6488,2020,TO,171875
6498,2021,TO,171875
4794,2020,TO,171880
4876,2021,TO,171880
3373,2020,TO,171884
3371,2021,TO,171884
7595,2020,TO,171886
7678,2021,TO,171886
3486,2020,TO,171888
3537,2021,TO,171888
2386,2020,TO,171889
2407,2021,TO,171889
4846,2020,TO,171890
4864,2021,TO,171890
2897,2020,TO,171900
2928,2021,TO,171900
2530,2020,TO,172000
2530,2021,TO,172000
5391,2020,TO,172010
5457,2021,TO,172010
1598,2020,TO,172015
1610,2021,TO,172015
12294,2020,TO,172020
12445,2021,TO,172020
3094,2020,TO,172025
3106,2021,TO,172025
4852,2020,TO,172030
4898,2021,TO,172030
3904,2020,TO,172049
3848,2021,TO,172049
5428,2020,TO,172065
5452,2021,TO,172065
8997,2020,TO,172080
8965,2021,TO,172080
1986,2020,TO,172085
2007,2021,TO,172085
16825,2020,TO,172090
16966,2021,TO,172090
2166,2020,TO,172093
2183,2021,TO,172093
2812,2020,TO,172097
2831,2021,TO,172097
306296,2020,TO,172100
313349,2021,TO,172100
7617,2020,TO,172110
7688,2021,TO,172110
22845,2020,TO,172120
22820,2021,TO,172120
1922,2020,TO,172125
1952,2021,TO,172125
2729,2020,TO,172130
2785,2021,TO,172130
11734,2020,TO,172208
11783,2021,TO,172208
11520,2020,TO,172210
11500,2021,TO,172210
113121,2020,MA,210005
113783,2021,MA,210005
6578,2020,MA,210010
6631,2021,MA,210010
12652,2020,MA,210015
12731,2021,MA,210015
22112,2020,MA,210020
22126,2021,MA,210020
26757,2020,MA,210030
26979,2021,MA,210030
8189,2020,MA,210040
8250,2021,MA,210040
27858,2020,MA,210043
28066,2021,MA,210043
31943,2020,MA,210047
31967,2021,MA,210047
11212,2020,MA,210050
11233,2021,MA,210050
7005,2020,MA,210055
7047,2021,MA,210055
41729,2020,MA,210060
42017,2021,MA,210060
26988,2020,MA,210070
27170,2021,MA,210070
15894,2020,MA,210080
16054,2021,MA,210080
17413,2020,MA,210083
17582,2021,MA,210083
15551,2020,MA,210087
15675,2021,MA,210087
